#Parameters = {BeamSourceOriginX=0; BeamSourceOriginY=0; BeamSourceOriginZ=115.79674639889; D=50.003107798429; PML_offset=0; R=61.548; alpha=90; angle_20dB=11.769; beam_f=-234.79674639889; beam_w=1.94; f=120; n=1.5129; phi=0; source_dist=115.79674639889; th=5.3067463988873; th2=8; theta=0}
#"X / mm"	"power (f=90) (fsGBMacro_3331027.311nm(1,0),(0.0))_Abs (X) [Magnitude / dB]"
#-------------------------------------------------------------------------------------
-25.001553899214	-5.0971834370938
-24.967305195243	-4.8382850065779
-24.933056491271	-4.5757073874810
-24.898807787300	-3.9421338570504
-24.864559083328	-3.3065605601745
-24.830310379357	-2.4629474457724
-24.796061675385	-1.6470904768764
-24.761812971414	-0.73156642600388
-24.727564267442	0.20987463345852
-24.693315563471	1.1314584998037
-24.659066859499	2.1370882466816
-24.624818155528	3.0558072857470
-24.590569451556	4.0397541468056
-24.556320747585	4.9604594574781
-24.522072043613	5.8639263333336
-24.487823339642	6.7621281675685
-24.453574635670	7.5865628174901
-24.419325931699	8.4482724957606
-24.385077227727	9.2350947403113
-24.350828523755	10.010966064998
-24.316579819784	10.760286165656
-24.282331115812	11.458909386020
-24.248082411841	12.167220756575
-24.213833707869	12.822874034379
-24.179585003898	13.466410595498
-24.145336299926	14.084078643380
-24.111087595955	14.667335018079
-24.076838891983	15.245210215458
-24.042590188012	15.787179779238
-24.008341484040	16.315300974871
-23.974092780069	16.820832436530
-23.939844076097	17.302069038260
-23.905595372126	17.770038408154
-23.871346668154	18.214089659393
-23.837097964183	18.641748332940
-23.802849260211	19.051018382023
-23.768600556240	19.441777197091
-23.734351852268	19.815483376780
-23.700103148296	20.173782028376
-23.665854444325	20.512892149121
-23.631605740353	20.837924741533
-23.597357036382	21.147850351850
-23.563108332410	21.439176862379
-23.528859628439	21.721113638303
-23.494610924467	21.981833294592
-23.460362220496	22.232114126965
-23.426113516524	22.469571005629
-23.391864812553	22.688268164234
-23.357616108581	22.901739771398
