#Parameters = {BeamSourceOriginX=0; BeamSourceOriginY=0; BeamSourceOriginZ=115.79674639889; D=50.003107798429; PML_offset=0; R=61.548; alpha=90; angle_20dB=11.769; beam_f=-234.79674639889; beam_w=1.94; f=120; n=1.5129; phi=0; source_dist=115.79674639889; th=5.3067463988873; th2=8; theta=0}
#"X / mm"	"power (f=150) (fsGBMacro_3331027.311nm(1,0),(0.0))_Abs (X) [Magnitude / dB]"
#--------------------------------------------------------------------------------------
-25.001553899214	22.292640727970
-24.967305195243	22.586948937496
-24.933056491271	22.872949688376
-24.898807787300	23.415363840061
-24.864559083328	23.929880253875
-24.830310379357	24.453924497743
-24.796061675385	24.948871963938
-24.761812971414	25.432641293893
-24.727564267442	25.900014657947
-24.693315563471	26.348425014260
-24.659066859499	26.792002490186
-24.624818155528	27.215071972272
-24.590569451556	27.644739035360
-24.556320747585	28.061466449942
-24.522072043613	28.481612339923
-24.487823339642	28.910148171441
-24.453574635670	29.324449683064
-24.419325931699	29.782096014939
-24.385077227727	30.219290107744
-24.350828523755	30.683122877855
-24.316579819784	31.156609991213
-24.282331115812	31.616088187603
-24.248082411841	32.130265341530
-24.213833707869	32.615874618579
-24.179585003898	33.133871317345
-24.145336299926	33.654645761303
-24.111087595955	34.160748945005
-24.076838891983	34.712580815510
-24.042590188012	35.232351774752
-24.008341484040	35.780108113453
-23.974092780069	36.321391592136
-23.939844076097	36.848047138857
-23.905595372126	37.399922674038
-23.871346668154	37.921465034643
-23.837097964183	38.455180064420
-23.802849260211	38.973760239787
-23.768600556240	39.474938889440
-23.734351852268	39.975146540891
-23.700103148296	40.450595161281
-23.665854444325	40.913659103520
-23.631605740353	41.358074770872
-23.597357036382	41.780583047507
-23.563108332410	42.180369671537
-23.528859628439	42.563941681928
-23.494610924467	42.912805204389
-23.460362220496	43.244535138149
-23.426113516524	43.552414173740
-23.391864812553	43.824006857370
-23.357616108581	44.087877338645
-23.323367404610	44.303127398343
-23.289118700638	44.504857176835
-23.254869996667	44.682840757151
-23.220621292695	44.819535219077
-23.186372588724	44.954216875166
-23.152123884752	45.035280558042
-23.117875180781	45.106255334980
-23.083626476809	45.154749898625
-23.049377772837	45.163428569352
-23.015129068866	45.172101598043
-22.980880364894	45.129770693057
-22.946631660923	45.079338631257
-22.912382956951	45.008449866405
-22.878134252980	44.903373212485
-22.843885549008	44.797016399339
-22.809636845037	44.648151356704
-22.775388141065	44.491403500256
-22.741139437094	44.316544610001
-22.706890733122	44.115688627746
-22.672642029151	43.910088569164
-22.638393325179	43.673966028091
-22.604144621208	43.429358992602
-22.569895917236	43.170423590100
-22.535647213265	42.894615133372
-22.501398509293	42.609901529238
-22.467149805322	42.311785173270
-22.432901101350	42.003356405708
-22.398652397378	41.688462191241
-22.364403693407	41.367108846264
-22.330154989435	41.034881062231
-22.295906285464	40.713276709664
-22.261657581492	40.381080624008
-22.227408877521	40.057653913367
-22.193160173549	39.741696377036
-22.158911469578	39.420121001642
-22.124662765606	39.137285803330
-22.090414061635	38.848843640460
