#Parameters = {BeamSourceOriginX=0; BeamSourceOriginY=0; BeamSourceOriginZ=115.79674639889; D=50.003107798429; PML_offset=0; R=61.548; alpha=90; angle_20dB=11.769; beam_f=-234.79674639889; beam_w=1.94; f=120; n=1.5129; phi=0; source_dist=115.79674639889; th=5.3067463988873; th2=8; theta=0}
#"Y / mm"	"power (f=120) (fsGBMacro_3331027.311nm(1,0),(0.0))_Abs (Y) [Magnitude / dB]"
#--------------------------------------------------------------------------------------
-25.001553899214	15.581460955066
-24.967305195243	15.753406700162
-24.933056491271	15.923825712477
-24.898807787300	16.288099964110
-24.864559083328	16.639310584100
-24.830310379357	17.037736121314
-24.796061675385	17.419877864591
-24.761812971414	17.822946571284
-24.727564267442	18.230856118656
-24.693315563471	18.632767003167
-24.659066859499	19.056787562119
-24.624818155528	19.461457576494
-24.590569451556	19.884740391210
-24.556320747585	20.295632146956
-24.522072043613	20.704277826983
-24.487823339642	21.114393418381
-24.453574635670	21.507492048921
-24.419325931699	21.911146147910
-24.385077227727	22.296892833488
-24.350828523755	22.679257568917
-24.316579819784	23.054735473349
-24.282331115812	23.416382644617
-24.248082411841	23.777744088855
-24.213833707869	24.124814622922
-24.179585003898	24.465136525637
-24.145336299926	24.796501224299
-24.111087595955	25.116783439270
-24.076838891983	25.430435015672
-24.042590188012	25.733522036933
-24.008341484040	26.027755635037
-23.974092780069	26.313273396909
-23.939844076097	26.589816322800
-23.905595372126	26.857155627010
-23.871346668154	27.117125354209
-23.837097964183	27.367280129644
-23.802849260211	27.610186448312
-23.768600556240	27.845656830041
-23.734351852268	28.071755749138
-23.700103148296	28.292891647597
-23.665854444325	28.504245155279
-23.631605740353	28.710021731714
-23.597357036382	28.909730701703
-23.563108332410	29.100856637819
-23.528859628439	29.288659609523
-23.494610924467	29.467428107835
-23.460362220496	29.641970556386
-23.426113516524	29.811473857250
-23.391864812553	29.973475727333
-23.357616108581	30.133161482055
-23.323367404610	30.284618757270
-23.289118700638	30.432794111943
-23.254869996667	30.576593650290
-23.220621292695	30.713812775267
-23.186372588724	30.849296990450
-23.152123884752	30.977149631358
-23.117875180781	31.102362712681
-23.083626476809	31.223607441466
-23.049377772837	31.338984826701
-23.015129068866	31.453001617083
-22.980880364894	31.559889641078
-22.946631660923	31.664668459415
-22.912382956951	31.765820123944
-22.878134252980	31.861842105791
-22.843885549008	31.956826830397
-22.809636845037	32.045396620401
-22.775388141065	32.132399282924
-22.741139437094	32.216232415948
-22.706890733122	32.295998463185
-22.672642029151	32.375058667906
-22.638393325179	32.448745387475
-22.604144621208	32.521547971577
-22.569895917236	32.591817050737
-22.535647213265	32.659263659914
-22.501398509293	32.726322432651
-22.467149805322	32.789414841881
-22.432901101350	32.852165025726
-22.398652397378	32.913166930140
-22.364403693407	32.972490700740
-22.330154989435	33.031596310504
-22.295906285464	33.088263285244
-22.261657581492	33.144820086406
-22.227408877521	33.200289546338
-22.193160173549	33.254839676591
-22.158911469578	33.309201470841
-22.124662765606	33.362174411528
-22.090414061635	33.415026232279
-22.056165357663	33.467125869540
-22.021916653692	33.518629701108
-21.987667949720	33.569875666309
-21.953419245749	33.620156867521
-21.919170541777	33.670224252487
-21.884921837806	33.719607417475
-21.850673133834	33.768472197533
-21.816424429863	33.816991458407
-21.782175725891	33.864722623541
-21.747927021919	33.912190452660
-21.713678317948	33.959052564258
-21.679429613976	34.005506604483
-21.645180910005	34.051656672889
-21.610932206033	34.097328654289
-21.576683502062	34.142815177346
-21.542434798090	34.188045420565
-21.508186094119	34.233137269371
-21.473937390147	34.278159944506
-21.439688686176	34.323219093840
-21.405439982204	34.368264426762
-21.371191278233	34.413592173383
-21.336942574261	34.459033762404
-21.302693870290	34.504724154465
-21.268445166318	34.550798395703
-21.234196462347	34.597001755473
-21.199947758375	34.643724877781
-21.165699054404	34.690623581384
-21.131450350432	34.737730096158
