#Parameters = {BeamSourceOriginX=0; BeamSourceOriginY=0; BeamSourceOriginZ=115.79674639889; D=50.003107798429; PML_offset=0; R=61.548; alpha=90; angle_20dB=11.769; beam_f=-234.79674639889; beam_w=1.94; f=120; n=1.5129; phi=0; source_dist=115.79674639889; th=5.3067463988873; th2=8; theta=0}
#"Y / mm"	"e-field (f=120) (fsGBMacro_3331027.311nm(1,0),(0.0))_Y (Y) [Re]"	"e-field (f=120) (fsGBMacro_3331027.311nm(1,0),(0.0))_Y (Y) [Im]"
#--------------------------------------------------------------------------------------------------------------------------------------------
-25.001553899214	18.944124221802	67.941535949707
-24.967305195243	19.129014968872	68.410491943359
-24.933056491271	19.314025878906	68.879737854004
-24.898807787300	19.721670150757	69.880172729492
-24.864559083328	20.129402160645	70.880737304688
-24.830310379357	20.623605728149	72.011283874512
-24.796061675385	21.117811203003	73.141838073730
-24.761812971414	21.673835754395	74.350082397461
-24.727564267442	22.269273757935	75.607810974121
-24.693315563471	22.888622283936	76.889846801758
-24.659066859499	23.592884063721	78.258171081543
-24.624818155528	24.297147750854	79.626495361328
-24.590569451556	25.097869873047	81.072158813477
-24.556320747585	25.918430328369	82.533676147461
-24.522072043613	26.793100357056	84.028015136719
-24.487823339642	27.737083435059	85.564392089844
-24.453574635670	28.687374114990	87.103454589844
-24.419325931699	29.763547897339	88.695869445801
-24.385077227727	30.839780807495	90.288375854492
-24.350828523755	31.996673583984	91.901206970215
-24.316579819784	33.213062286377	93.529075622559
-24.282331115812	34.444438934326	95.158226013184
-24.248082411841	35.805477142334	96.798469543457
-24.213833707869	37.166591644287	98.438804626465
-24.179585003898	38.620689392090	100.07169342041
-24.145336299926	40.129062652588	101.70029449463
-24.111087595955	41.661033630371	103.32305908203
-24.076838891983	43.317340850830	104.91510009766
-24.042590188012	44.973651885986	106.50714111328
-24.008341484040	46.730541229248	108.05665588379
-23.974092780069	48.533023834229	109.58671569824
-23.939844076097	50.366065979004	111.09793090820
-23.905595372126	52.310436248779	112.54049682617
-23.871346668154	54.254802703857	113.98306274414
-23.837097964183	56.299526214600	115.34174346924
-23.802849260211	58.378746032715	116.67135620117
-23.768600556240	60.492061614990	117.96349334717
-23.734351852268	62.696964263916	119.15498352051
-23.700103148296	64.901863098145	120.34646606445
-23.665854444325	67.195892333984	121.41126251221
-23.631605740353	69.514625549316	122.44064331055
-23.597357036382	71.862304687500	123.41621398926
-23.563108332410	74.279998779297	124.26166534424
-23.528859628439	76.697692871094	125.10711669922
-23.494610924467	79.181304931641	125.78929901123
-23.460362220496	81.681228637695	126.43150329590
-23.426113516524	84.200897216797	127.00473022461
-23.391864812553	86.764060974121	127.42719268799
-23.357616108581	89.327232360840	127.84966278076
-23.323367404610	91.926147460938	128.08039855957
-23.289118700638	94.532829284668	128.27032470703
-23.254869996667	97.147010803223	128.37930297852
-23.220621292695	99.776359558105	128.32768249512
-23.186372588724	102.40570831299	128.27606201172
-23.152123884752	105.03657531738	128.01602172852
-23.117875180781	107.66773223877	127.71794891357
-23.083626476809	110.29241943359	127.33188629150
-23.049377772837	112.90501403809	126.78691864014
-23.015129068866	115.51760864258	126.24195861816
-22.980880364894	118.09728240967	125.48628997803
-22.946631660923	120.67189788818	124.69827270508
-22.912382956951	123.22547912598	123.82150268555
-22.878134252980	125.74398803711	122.79855346680
-22.843885549008	128.26249694824	121.77559661865
-22.809636845037	130.71722412109	120.55502319336
-22.775388141065	133.16392517090	119.30957031250
-22.741139437094	135.57569885254	117.97942352295
-22.706890733122	137.93739318848	116.52748870850
-22.672642029151	140.29895019531	115.07563018799
-22.638393325179	142.57124328613	113.44841003418
-22.604144621208	144.83708190918	111.80849456787
-22.569895917236	147.05572509766	110.09245300293
-22.535647213265	149.21792602539	108.28501129150
-22.501398509293	151.37998962402	106.47766876221
-22.467149805322	153.43582153320	104.52850341797
-22.432901101350	155.48912048340	102.57597351074
-22.398652397378	157.48709106445	100.56235504150
-22.364403693407	159.42961120605	98.487274169922
-22.330154989435	161.36965942383	96.410194396973
-22.295906285464	163.20153808594	94.235694885254
-22.261657581492	165.03341674805	92.061195373535
-22.227408877521	166.80680847168	89.844482421875
-22.193160173549	168.53103637695	87.592285156250
-22.158911469578	170.24859619141	85.336204528809
-22.124662765606	171.86975097656	83.026634216309
-22.090414061635	173.49089050293	80.717063903809
-22.056165357663	175.05494689941	78.384422302246
-22.021916653692	176.57894897461	76.035598754883
-21.987667949720	178.09310913086	73.683998107910
-21.953419245749	179.52674865723	71.311065673828
-21.919170541777	180.96040344238	68.938133239746
-21.884921837806	182.34127807617	66.557655334473
-21.850673133834	183.69145202637	64.172790527344
-21.816424429863	185.02973937988	61.787448883057
-21.782175725891	186.30290222168	59.399394989014
-21.747927021919	187.57600402832	57.011474609375
-21.713678317948	188.80064392090	54.625144958496
-21.679429613976	190.00210571289	52.239570617676
-21.645180910005	191.19017028809	49.854949951172
-21.610932206033	192.32421875000	47.474037170410
-21.576683502062	193.45820617676	45.093257904053
-21.542434798090	194.54306030273	42.715682983398
-21.508186094119	195.61157226562	40.339172363281
-21.473937390147	196.66004943848	37.963153839111
-21.439688686176	197.66235351562	35.588260650635
-21.405439982204	198.66470336914	33.213233947754
-21.371191278233	199.60771179199	30.836032867432
-21.336942574261	200.54061889648	28.458438873291
-21.302693870290	201.44291687012	26.077526092529
-21.268445166318	202.30049133301	23.691772460938
-21.234196462347	203.15812683105	21.305883407593
-21.199947758375	203.93533325195	18.906873703003
-21.165699054404	204.70906066895	16.507289886475
-21.131450350432	205.43449401855	14.097914695740
-21.097201646460	206.11360168457	11.679148674011
-21.062952942489	206.78601074219	9.2587852478027
-21.028704238517	207.35751342773	6.8166265487671
-20.994455534546	207.92903137207	4.3744683265686
-20.960206830574	208.42561340332	1.9163045883179
-20.925958126603	208.87519836426	-0.55190038681030
-20.891709422631	209.30195617676	-3.0244941711426
-20.857460718660	209.61436462402	-5.5192050933838
-20.823212014688	209.92674255371	-8.0137777328491
-20.788963310717	210.12937927246	-10.525732040405
-20.754714606745	210.28901672363	-13.044497489929
-20.720465902774	210.40330505371	-15.568496704102
-20.686217198802	210.39530944824	-18.106752395630
-20.651968494831	210.38729858398	-20.644866943359
-20.617719790859	210.23030090332	-23.192398071289
-20.583471086888	210.04113769531	-25.741964340210
-20.549222382916	209.77983093262	-28.291843414307
-20.514973678945	209.39802551270	-30.842247009277
-20.480724974973	209.01618957520	-33.392791748047
-20.446476271001	208.44801330566	-35.931941986084
-20.412227567030	207.86503601074	-38.470199584961
-20.377978863058	207.18351745605	-40.995307922363
-20.343730159087	206.39454650879	-43.506072998047
-20.309481455115	205.59922790527	-46.015628814697
-20.275232751144	204.60348510742	-48.482006072998
-20.240984047172	203.60772705078	-50.948383331299
-20.206735343201	202.49191284180	-53.377777099609
-20.172486639229	201.29002380371	-55.780658721924
-20.138237935258	200.07775878906	-58.179347991943
-20.103989231286	198.67579650879	-60.498401641846
-20.069740527315	197.27384948730	-62.817459106445
-20.035491823343	195.77560424805	-65.082923889160
-20.001243119372	194.18873596191	-67.299049377441
-19.966994415400	192.60185241699	-69.515167236328
-19.932745711429	190.85227966309	-71.611778259277
-19.898497007457	189.10111999512	-73.707031250000
-19.864248303485	187.28640747070	-75.739494323730
-19.829999599514	185.39674377441	-77.697921752930
-19.795750895542	183.50709533691	-79.656356811523
-19.761502191571	181.51705932617	-81.475418090820
-19.727253487599	179.51934814453	-83.283561706543
-19.693004783628	177.49235534668	-85.027893066406
-19.658756079656	175.42088317871	-86.675338745117
-19.624507375685	173.34942626953	-88.322784423828
-19.590258671713	171.24620056152	-89.825019836426
-19.556009967742	169.13793945312	-91.304916381836
-19.521761263770	167.03056335449	-92.727478027344
-19.487512559799	164.92469787598	-94.036590576172
-19.453263855827	162.81884765625	-95.345695495605
-19.419015151856	160.74659729004	-96.518074035645
-19.384766447884	158.68241882324	-97.657279968262
-19.350517743913	156.64042663574	-98.751091003418
-19.316269039941	154.65698242188	-99.724594116211
-19.282020335970	152.67353820801	-100.69808959961
-19.247771631998	150.77729797363	-101.55464172363
-19.213522928026	148.91125488281	-102.37068176270
-19.179274224055	147.07710266113	-103.15581512451
